cluster,view_count,title_length,word_count,emoji_count,special_char_count,is_clickbait,has_question_mark,has_exclamation,brightness,contrast,person_count,object_count,has_text,person_left,person_middle,person_right,person_small,person_medium,person_large,text_left,text_middle,text_right,text_small,text_medium,text_large,color_red,color_blue,color_green,color_yellow,color_purple,color_brown,color_grey,color_white,color_pink
0,851950.6040172166,66.00143472022955,24.477761836441893,0.5868005738880918,4.414634146341464,0.05164992826398852,0.0975609756097561,0.296987087517934,121.28991889015091,66.62360538878174,1.2453371592539455,3.2453371592539453,0.38880918220946914,0.1793400286944046,1.2080344332855093,0.18651362984218078,0.11908177905308465,1.2223816355810617,1.2281205164992826,0.15208034433285508,0.45911047345767575,0.19655667144906744,0.36872309899569583,0.5351506456241033,0.5581061692969871,0.23529411764705882,0.05164992826398852,0.020086083213773313,0.1793400286944046,0.04591104734576758,0.8579626972740315,0.7360114777618364,0.2223816355810617,0.010043041606886656
1,208693.52444444445,43.49333333333333,16.47111111111111,0.19555555555555557,3.6533333333333333,0.08,0.18222222222222223,0.6133333333333333,125.97135361529064,76.50456780998243,0.43555555555555553,1.3155555555555556,0.7288888888888889,0.10666666666666667,0.4088888888888889,0.08,0.07555555555555556,0.4222222222222222,0.4311111111111111,0.19111111111111112,1.1377777777777778,0.6577777777777778,0.6711111111111111,1.3644444444444443,1.2222222222222223,0.6711111111111111,0.24444444444444444,0.12,0.26222222222222225,0.12,0.40444444444444444,0.7466666666666667,0.5644444444444444,0.05333333333333334
2,1501716.1856060605,46.678030303030305,18.693181818181817,0.678030303030303,3.2386363636363638,0.045454545454545456,0.056818181818181816,0.3068181818181818,140.29969908503438,70.04647056030761,1.621212121212121,0.7159090909090909,0.7159090909090909,0.20454545454545456,1.571969696969697,0.24242424242424243,0.07954545454545454,1.5757575757575757,1.5909090909090908,0.4015151515151515,1.3068181818181819,0.3333333333333333,0.4431818181818182,1.4242424242424243,1.5378787878787878,0.22727272727272727,0.14015151515151514,0.041666666666666664,0.24621212121212122,0.10606060606060606,0.49242424242424243,0.9015151515151515,0.48484848484848486,0.03787878787878788
3,325449.81194690266,49.6570796460177,20.188053097345133,1.2721238938053097,3.066371681415929,0.033185840707964605,0.1570796460176991,0.25,128.8916492167335,74.53702745097726,2.435840707964602,1.0398230088495575,0.48451327433628316,0.46238938053097345,2.3849557522123894,0.47345132743362833,0.05088495575221239,2.422566371681416,2.415929203539823,0.24336283185840707,0.6526548672566371,0.2013274336283186,0.46238938053097345,0.7146017699115044,0.7986725663716814,0.13716814159292035,0.048672566371681415,0.01327433628318584,0.13495575221238937,0.09292035398230089,0.504424778761062,0.9646017699115044,0.4336283185840708,0.02654867256637168
4,1111953.336114422,47.663289630512516,18.38140643623361,0.4696066746126341,3.966030989272944,0.04290822407628129,0.1531585220500596,0.21096543504171633,108.34261068117874,70.64038809793126,2.0524433849821215,0.9851013110846245,0.5792610250297974,0.3140643623361144,2.001787842669845,0.35518474374255066,0.17759237187127533,2.0232419547079856,2.0268176400476756,0.3265792610250298,0.831942789034565,0.27830750893921335,0.6519666269368296,0.932657926102503,1.0566150178784266,0.21513706793802145,0.16924910607866508,0.05542312276519666,0.16567342073897498,0.1263408820023838,0.5071513706793802,0.8629320619785459,0.3903456495828367,0.04648390941597139
5,278265.34246575343,44.80821917808219,17.8675799086758,0.1278538812785388,3.780821917808219,0.1232876712328767,0.3881278538812785,0.3926940639269406,129.1579407859272,74.86812032348321,0.634703196347032,1.3378995433789955,0.5159817351598174,0.0776255707762557,0.634703196347032,0.1095890410958904,0.0319634703196347,0.634703196347032,0.634703196347032,0.2694063926940639,0.9497716894977168,0.2237442922374429,0.6894977168949772,1.0502283105022832,1.095890410958904,0.1415525114155251,0.1689497716894977,0.0228310502283105,0.1552511415525114,0.1461187214611872,0.2785388127853881,0.9680365296803652,0.5753424657534246,0.0319634703196347
6,620196.5130548303,25.865535248041777,10.238903394255875,0.06266318537859007,1.58355091383812,0.02610966057441253,0.15535248041775457,0.12663185378590078,101.74004572873605,71.30338530258032,1.5065274151436032,1.768929503916449,0.5691906005221932,0.2506527415143603,1.4608355091383811,0.2584856396866841,63.55874673629243,1.4791122715404699,1.4908616187989556,0.2558746736292428,0.8407310704960835,0.18798955613577023,0.39295039164490864,0.933420365535248,0.9869451697127938,0.1919060052219321,0.17232375979112272,0.08093994778067885,0.2010443864229765,0.07963446475195822,0.4046997389033943,0.8472584856396866,0.4112271540469974,0.01174934725848564
7,454256.8217317487,43.879456706281836,17.738539898132426,0.16468590831918506,3.835314091680815,0.05432937181663837,0.1969439728353141,0.1494057724957555,101.17268763902644,73.98978632496818,1.9575551782682512,1.461799660441426,0.6451612903225806,0.31239388794567063,1.867572156196944,0.3870967741935484,72.22410865874363,1.894736842105263,1.9066213921901527,0.34974533106960953,1.0916808149405772,0.22241086587436332,0.5500848896434635,1.1731748726655349,1.3056027164685908,0.2563667232597623,0.1969439728353141,0.04753820033955857,0.32767402376910015,0.10696095076400679,0.44142614601018676,0.8488964346349746,0.4312393887945671,0.01697792869269949
8,316648.2112879884,83.66714905933429,33.88422575976845,0.3661360347322721,6.9623733719247465,0.10130246020260492,0.4211287988422576,0.44138929088277856,96.25760034929499,76.29576119755492,1.755426917510854,1.2749638205499276,0.7221418234442837,0.2706222865412446,1.6859623733719247,0.3719247467438495,84.32850940665702,1.6975397973950797,1.7163531114327062,0.5065123010130246,1.3039073806078147,0.32416787264833574,0.9319826338639653,1.4384949348769898,1.6439942112879884,0.33719247467438496,0.191027496382055,0.085383502170767,0.42981186685962375,0.08683068017366136,0.4196816208393632,0.8133140376266281,0.4370477568740955,0.011577424023154847
9,384693.130283729,49.0040532715692,20.02605674580197,0.08453966415749856,5.499131441806601,0.06948465547191662,0.22235089751013318,0.15112912565141864,102.65178781306798,74.68147398773554,1.7556456282570931,1.365952518818761,0.7776491024898669,0.30689056166763173,1.6658946149392009,0.38621887666473653,90.67052692530399,1.6960046323103648,1.707585408222351,0.6409959467284309,1.0868558193398958,0.43138390272148236,0.7701215981470758,1.4429646786334684,1.585987261146497,0.1899247249565721,0.2947307469600463,0.04169079328314997,0.20961204400694847,0.09843659525188188,0.34568616097278515,0.8621887666473653,0.5651418645049219,0.003474232773595831
