channel_id,subscriber_count,total_video_count
"['수록 soolog', 'UCX5rBfatvx4ssJgX2OBsFfw']",7.6만,121
"['츄라임 Chu Lime', 'UC_0j3MqVquldicqNC9lKACg']",5.28만,67
"['빈나', 'UCaBISwID7s6V1nVmOInbSnA']",2.83만,723
"['종지부부', 'UCOw9AWMLleR-RZ7mHI8Ij4A']",57.9만,1.7천
"['SEVENTEEN', 'UCfkXDY7vwkcJ8ddFGz8KusA']",1390만,2.7천
"['THE 프리지아', 'UCAbhooUR9thtUYAkLxk9iBg']",63.7만,91
"['다혜가다했다DAHYE', 'UCxuZNOyjmFDN2ZtSk81LErg']",14.6만,127
"['푸디젠 Foodie Jen', 'UClrOEuBPOU5Gg60dJ_49M-g']",35.4만,135
"['진짜 윤진이', 'UC2cVX6SUWLNj7EAG01r9cCQ']",5.35천,15
"['강하다 kanghada', 'UC1GNdv-ZHN1vQ9U49hBED6g']",7.84천,45
"['빠더너스 BDNS', 'UC5xLohcPE65Y-U62X6snmRQ']",187만,1.3천
"['우니의끼니 UNIII', 'UCVPkwz7nxd5bbR536ugmiBw']",25.6만,457
"['돼끼 baby_pig_rabbit', 'UCW-QBEmxsme2FAONSnTjp-g']",85.4만,1.3천
"['트위티 (Tweety)', 'UCx0ZL5ldCGMqkOGqyO1qOkw']",76.2만,414
"['셔니SEANII', 'UCJhq7wtR5IM_WwdwL3-GObQ']",1.58만,180
"['고나윤 Nayun Ko', 'UCX7JYcZIbRUxXaFMKDXLxtA']",11.5만,175
"['유럽엄빠', 'UC45H2fRL9gSSwHAWDMlSGng']",2.06만,175
"['헤이유정 YUJUNG', 'UCbK4gpzzFpF5cfQ5HQMl15g']",12.5만,76
"['정여사네 꿀잼라이프', 'UCMfo59VMFZgx_OdO0IVIJkA']",2.28만,346
"['다른커플 DifferentCouple', 'UCH7s4vHBez8Xlw6AwhRYLuQ']",3.7만,218
"['yoovlog', 'UCkh6TlSape86-iHiehXvsmA']",46.6만,1.2천
"['융덕 Yungduck', 'UC_zXObQdOXbUGe8IyVRcpSw']",37.8만,844
"['리쥬라이크 LIJULIKE', 'UCYDyvqaGX6WxH77N04sj6mg']",89.4만,514
"['옆집간호사 구슬언니', 'UCaAeaCKU-dBllPNadsXvQOg']",28.8만,762
"['수콩 Day', 'UCQaOTCb298EdrBWwt76NTKg']",6.21천,310
"['김준표', 'UC_EngQdug6VcxZ3xcqgnWug']",100만,1.6천
"['수밤이', 'UC_Y7qo-aAcvrCH6Y8cBj5uQ']",13.9만,66
"['쓰까르', 'UCX14ZlyF0-tgVcDxLj-4ytA']",11.3만,87
