,Unnamed: 0,view_count,duration,subscriber_count,brightness,contrast,title_length,word_count,emoji_count,special_char_count,is_clickbait,has_question_mark,has_exclamation,pub_year,pub_month,pub_weekday,color_red,color_blue,color_green,color_yellow,color_purple,color_brown,color_grey,color_white,color_pink,person_count,object_count,has_text,person_left,person_middle,person_right,person_small,person_medium,person_large,text_left,text_middle,text_right,text_small,text_medium,text_large,cluster,target
6921,6921,49289.0,736.0,24400.0,166.73522894965276,87.41148904658498,24,9,0,1,0,False,True,2024,2,5,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,4,4,0,0,4,10.805476499699424
6922,6922,152149.0,3123.0,45300.0,41.96794813368056,68.70390285565837,99,28,0,9,0,False,False,2024,6,2,0,0,0,0,0,0,1,0,0,3,0,1,0,2,1,1,3,2,1,2,0,0,2,2,4,11.932622155325117
6923,6923,4021307.0,110.0,1910000.0,85.34554796006944,72.84908931669786,56,22,0,2,0,False,False,2024,6,4,0,0,0,0,0,1,1,0,0,11,2,0,2,11,1,0,11,11,0,0,0,0,0,0,9,15.207117780807174
6924,6924,423910.0,941.0,435000.0,122.83896484375,78.04259874402005,54,21,2,5,0,False,False,2024,9,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,12.95727880652044
6925,6925,21325.0,190.0,12500.0,118.48101128472224,81.35636335127487,19,8,0,3,0,False,False,2022,11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,9.967682264578125
6926,6926,1194238.0,465.0,199000.0,105.79429361979167,74.82658774022244,32,15,0,5,0,False,False,2021,11,5,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,4,0,2,5,6,4,13.99301972040803
6927,6927,536937.0,608.0,9470.0,126.94155924479166,81.64646396211333,51,16,2,2,0,False,False,2023,5,5,0,0,0,0,0,0,1,1,0,13,7,1,3,13,2,101,13,13,0,0,1,1,0,0,9,13.193637910587055
6928,6928,2168960.0,420.0,2490000.0,97.24326171875,83.03431112600515,64,22,1,3,0,False,True,2024,6,5,1,0,0,0,0,0,1,0,0,3,0,1,1,3,0,0,3,3,0,2,0,0,2,2,4,14.58975880901112
6929,6929,385381.0,211.0,199000.0,104.10509006076389,81.70178546373886,22,10,0,3,0,False,False,2022,1,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.861990329149338
6930,6930,1449464.0,329.0,330000.0,96.47834526909722,66.79554570506859,39,18,1,4,0,True,True,2021,10,5,0,0,0,0,0,1,1,0,0,5,4,1,0,5,4,4,5,5,0,2,1,0,2,2,4,14.186705080794992
6931,6931,7572.0,228.0,34700.0,82.45816623263889,85.55244570992578,26,9,0,3,0,False,False,2024,10,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,8.932344569113823
6932,6932,30832.0,217.0,34900.0,122.41473741319444,73.28907385559417,27,11,0,2,0,False,False,2025,3,1,0,1,0,0,0,1,1,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,4,10.336340823963159
6933,6933,1887307.0,2956.0,788000.0,50.41997938368056,65.83710218576091,90,32,0,5,0,False,False,2022,12,6,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,3,3,1,1,5,5,4,14.450662033076993
6934,6934,8678.0,179.0,206000.0,80.727021484375,62.59726816439306,72,19,0,7,0,False,False,2025,1,3,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,2,0,1,2,2,4,9.068661593644245
6935,6935,1614544.0,1117.0,31600.0,40.164560546875,71.57497871483815,20,7,0,1,0,False,False,2021,10,4,0,1,0,1,0,0,0,1,0,2,0,1,1,1,0,0,2,2,0,6,2,2,6,6,4,14.294563741198356
6936,6936,108704.0,1711.0,22200.0,65.27424153645833,75.59042423641462,89,9,0,9,0,False,False,2020,7,2,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,7,0,7,7,7,4,11.59639307021149
6937,6937,421679.0,271.0,13700.0,29.927740885416668,48.32023037613748,15,6,0,1,0,False,False,2023,11,6,0,0,0,0,0,0,1,0,0,4,2,1,0,4,0,0,4,4,1,0,0,1,0,1,4,12.952002011529089
6938,6938,704893.0,821.0,62700.0,137.01762261284722,85.50967537081192,59,18,0,5,0,False,False,2021,3,4,0,0,0,0,0,1,0,1,0,2,1,1,0,2,0,0,2,2,0,4,0,0,4,4,4,13.46580271588009
6939,6939,5831.0,189.0,20200.0,99.28063802083334,79.42998644219647,17,7,0,1,0,False,False,2024,9,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,4,8.671115273688494
6940,6940,16189111.0,153.0,8130000.0,85.76399848090277,77.0633934014402,76,28,1,4,0,False,True,2021,7,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,16.599849475477555
6941,6941,203881.0,183.0,34900.0,123.60055230034722,66.16018879590052,21,8,0,2,0,False,False,2025,2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,12.225296674097839
6942,6942,6790529.0,153.0,599000.0,85.76399848090277,77.0633934014402,76,28,1,4,0,False,True,2021,7,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,15.731039552453325
6943,6943,1265998.0,144.0,199000.0,96.63511067708332,86.79902393384864,59,15,0,2,0,False,False,2020,5,4,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,14.051372091796532
6944,6944,509168.0,791.0,6730.0,127.06277126736111,84.85518938051293,90,30,0,6,0,False,False,2022,2,2,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,13.140535264000668
6945,6945,2804.0,131.0,16900.0,143.10583875868056,53.20231925868128,35,14,0,3,0,False,False,2025,3,5,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,2,3,4,7.9391588179567965
6946,6946,284442.0,1133.0,788000.0,45.06309136284722,51.96369580797095,34,15,0,1,0,False,False,2024,8,1,0,1,0,0,0,0,1,0,0,8,4,1,2,7,2,102,8,8,1,0,0,1,0,1,6,12.558288160981633
6947,6947,13283.0,182.0,206000.0,181.4758138020833,55.88618389200026,88,26,2,9,0,False,False,2024,9,4,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,9.494315582496638
6948,6948,68011.0,1521.0,307000.0,76.56108289930556,55.746491343323285,41,15,0,2,0,False,False,2025,3,3,0,0,1,0,0,0,1,0,0,3,0,1,0,3,1,0,3,3,0,1,0,0,1,1,4,11.127439439177376
6949,6949,17590.0,452.0,127000.0,55.39149956597223,53.7084068177308,51,21,0,8,0,False,False,2025,3,1,0,1,0,0,0,0,1,0,0,3,0,1,0,3,0,2,3,3,0,1,0,0,1,1,4,9.775142686598905
6950,6950,348036.0,481.0,21700.0,85.88067057291667,87.21487822371884,74,29,0,3,0,False,False,2024,11,0,0,0,0,1,0,0,1,1,0,8,2,1,1,8,4,0,8,8,1,1,0,1,1,1,8,12.760064074943926
6951,6951,589681.0,547.0,14400.0,93.01403862847222,89.78657745129229,44,21,0,6,0,False,False,2024,7,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.287338687527477
6952,6952,337107.0,321.0,533000.0,113.10893012152778,48.29167280640038,12,6,0,0,0,False,False,2022,4,2,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,12.728158632770874
6953,6953,539729.0,227.0,7940.0,111.90117947048611,99.72530246499056,49,20,0,4,0,False,False,2021,2,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,13.198824293498776
6954,6954,98354.0,208.0,21900.0,83.62093424479167,83.51648218635312,87,30,2,7,0,False,False,2024,10,4,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,4,11.49633866136583
6955,6955,849339.0,220.0,199000.0,96.38944227430557,74.84393429049254,21,7,0,3,0,False,False,2022,8,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,4,13.65221485626884
6956,6956,687808.0,208.0,14400.0,67.42732964409723,75.40114126458573,29,9,0,1,0,False,False,2023,2,3,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,13.441266462093878
6957,6957,18734.0,147.0,206000.0,137.8623459201389,47.14708514559332,86,28,2,10,0,False,False,2024,5,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,4,9.838148711227788
6958,6958,469650.0,238.0,55000.0,128.94294053819445,68.38374102630348,28,11,0,0,0,False,False,2024,8,4,0,0,0,0,1,1,1,0,0,13,0,0,5,13,1,11,13,13,0,0,0,0,0,0,6,13.059745144665577
6959,6959,278302.0,156.0,3700.0,44.86074327256944,72.49294072530856,56,17,0,3,0,False,True,2025,3,3,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,2,0,0,2,2,4,12.53646572718998
6960,6960,60975.0,254.0,575.0,109.83512152777776,45.68394147947191,30,9,0,5,0,False,False,2021,9,2,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,101,1,1,0,2,0,2,2,2,6,11.018235623113641
6961,6961,53304.0,106.0,9510000.0,97.39489800347222,85.82322576264795,63,26,2,6,0,False,True,2025,3,4,0,0,1,0,0,1,1,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,4,10.883785414384576
6962,6962,22448.0,186.0,889000.0,58.46863064236111,34.41734095497963,51,20,0,10,0,False,False,2020,5,6,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,4,10.019001348748468
6963,6963,13547.0,233.0,56300.0,113.63774631076387,71.73606648789199,51,19,0,9,0,False,False,2021,12,1,1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,4,9.513994213937663
6964,6964,208758.0,183.0,1950.0,103.36616861979168,78.80106743239324,30,11,0,0,1,False,False,2021,1,6,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,12.248935755556184
6965,6965,59503.0,124.0,22800.0,72.14786241319445,67.66665729221887,26,9,0,2,0,False,False,2025,3,4,0,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,1,1,0,2,0,0,2,2,4,10.993798816164851
6966,6966,590693.0,1433.0,24500.0,110.1224685329861,53.53670579668549,21,10,0,2,0,False,False,2022,4,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,6,0,1,6,6,4,13.289053395803414
6967,6967,71390.0,277.0,21600.0,132.35096028645833,71.09608200273402,71,25,0,8,0,False,False,2020,5,5,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,2,0,0,2,2,4,11.175927089962485
6968,6968,995528.0,981.0,19600.0,93.50633355034722,72.95210974186364,26,12,0,4,0,False,False,2023,7,5,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,101,0,0,1,0,0,0,0,1,6,13.811029533151991
6969,6969,60148.0,690.0,382000.0,118.99606662326389,79.06685744155426,47,17,0,3,0,False,False,2023,2,2,0,0,0,1,0,1,1,1,0,9,0,0,0,9,3,0,9,9,0,0,0,0,0,0,4,11.00458009616072
6970,6970,19193.0,236.0,41400.0,117.12957573784722,70.06012657862695,20,9,0,1,0,False,False,2022,2,5,1,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,4,9.862353009177573
6971,6971,357038.0,163.0,9400.0,157.50091905381944,68.61151085567491,93,29,0,8,0,False,False,2020,11,5,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.785600298492596
6972,6972,573315.0,229.0,1090000.0,147.85308810763888,76.18485380889032,100,31,0,13,0,False,True,2021,2,5,0,0,0,0,0,0,1,1,0,2,1,1,0,2,1,0,2,2,1,1,0,0,1,1,4,13.259192327106373
6973,6973,8234.0,393.0,2450.0,115.80950954861112,56.55140000295464,20,8,0,2,0,False,False,2021,10,2,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0,0,3,3,4,9.016148642611741
6974,6974,7920732.0,191.0,1910000.0,105.76346571180557,85.57841301512174,64,19,0,0,0,False,False,2024,1,5,0,0,0,0,0,0,1,0,0,6,3,1,1,6,2,101,6,6,1,0,1,2,0,1,9,15.884994310013125
6975,6975,35047.0,249.0,21900.0,85.561171875,84.64630368038351,97,36,1,10,0,False,False,2024,10,4,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,2,1,0,2,2,4,10.464473829493734
6976,6976,430335.0,1106.0,19600.0,118.27167317708331,50.76731742737309,45,21,0,13,0,False,False,2021,6,6,0,0,1,1,0,1,0,0,0,3,4,1,2,2,1,101,3,3,1,1,0,1,1,1,9,12.972321577888177
6977,6977,44702.0,464.0,7590.0,91.84362196180555,49.97981238629839,77,19,0,5,0,False,False,2021,12,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.70779589244357
6978,6978,14561.0,144.0,56800.0,152.225546875,75.71250410541664,75,26,2,6,0,True,False,2025,3,3,0,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,1,1,0,2,0,0,2,2,4,9.586170674954657
6979,6979,44606.0,1418.0,1300.0,133.16529188368057,68.55841908047236,69,25,1,7,0,False,False,2022,10,6,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.705646076365333
6980,6980,71490.0,215.0,3740.0,106.39500325520834,73.61696291427525,7,4,0,0,0,False,False,2025,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,11.177326846633413
6981,6981,3599083.0,118.0,1910000.0,128.59117078993054,88.41144633380331,45,18,0,2,0,False,False,2025,2,5,0,0,0,1,0,0,1,1,0,12,2,0,2,12,5,101,12,12,0,0,0,0,0,0,9,15.096189926605414
6982,6982,899909.0,92.0,308000.0,103.756904296875,75.15967235341387,34,12,0,2,0,False,False,2024,10,1,0,0,0,0,0,1,1,1,0,2,0,0,0,2,1,0,2,2,0,0,0,0,0,0,4,13.710050037306114
6983,6983,4842492.0,1190.0,307000.0,91.01968858506945,71.28218265128737,44,19,0,2,0,False,False,2024,5,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,1,0,2,2,0,0,0,0,0,0,4,15.392940228727912
6984,6984,3955.0,333.0,1850000.0,86.36903862847223,68.32165270903121,64,21,0,10,0,False,False,2024,10,4,0,0,0,0,0,1,0,1,0,6,0,1,1,6,0,1,6,6,0,1,0,0,1,1,4,8.282988692742602
6985,6985,2998153.0,1128.0,307000.0,127.1958908420139,55.33484900658747,42,18,0,3,0,True,False,2024,5,5,0,0,0,0,0,1,1,0,0,3,1,0,1,3,0,102,3,3,0,0,0,0,0,0,9,14.913507323903797
6986,6986,86305.0,663.0,760000.0,135.82279405381945,82.72245086381017,44,21,0,6,0,True,True,2025,3,6,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,4,11.365654399567868
6987,6987,286321.0,121.0,9930.0,180.39519205729167,88.2924471297305,44,16,0,2,0,False,False,2022,4,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.564872330606905
6988,6988,56124.0,1297.0,1610000.0,123.30956705729167,83.31579560539707,64,27,0,6,0,False,False,2024,10,1,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,100,2,2,1,0,1,1,1,1,8,10.935336625044556
6989,6989,735718.0,1283.0,307000.0,81.77420247395834,52.68702630174375,33,14,0,4,0,False,False,2024,5,3,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,4,13.508603531331067
6990,6990,9953488.0,313.0,1910000.0,90.74923719618056,68.51173039390093,61,23,0,3,0,False,False,2023,6,2,0,0,0,0,0,1,1,0,0,12,2,0,0,11,2,6,11,11,0,0,0,0,0,0,4,16.113433700936618
6991,6991,649898.0,1141.0,307000.0,88.60203125,60.13014853827599,43,17,0,3,0,True,False,2024,6,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.384572245182996
6992,6992,5187104.0,499.0,348000.0,90.59864040798612,79.03171038660628,46,15,0,0,0,False,False,2022,9,5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,9,15.461686296043633
6993,6993,6643.0,322.0,1850000.0,123.25233072916669,75.25030750295925,63,21,0,10,0,False,False,2024,10,1,0,0,0,0,0,1,1,1,0,2,1,1,0,2,0,0,2,2,1,0,0,1,0,1,4,8.801469470733185
6994,6994,11335672.0,385.0,1310000.0,69.75023111979166,70.62174345253433,39,17,0,2,0,False,True,2022,6,0,0,0,0,1,0,0,1,1,0,4,0,1,0,4,1,101,4,4,0,2,0,0,2,2,9,16.24346521378275
6995,6995,47125.0,180.0,7200.0,87.96636827256944,63.27523857407858,41,12,0,3,0,False,False,2024,2,2,0,0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,4,10.760580144684319
6996,6996,2283.0,463.0,56300.0,106.84296549479168,71.49205746131054,43,14,0,6,0,False,False,2025,3,4,0,0,0,0,0,0,1,0,1,2,0,1,0,2,0,0,2,2,0,1,0,0,1,1,4,7.7336835707759
6997,6997,18264.0,225.0,164000.0,109.26273111979168,59.4363910064728,40,14,0,3,0,False,False,2024,7,5,0,0,0,0,0,1,1,1,0,1,4,1,0,1,0,0,1,1,1,1,0,1,1,1,4,9.812741939229383
6998,6998,18901.0,1228.0,1610000.0,140.04875542534722,87.28483334103376,66,24,0,4,0,False,False,2024,10,3,0,0,0,0,0,0,1,0,0,2,1,1,0,2,0,0,2,2,1,1,0,1,1,1,8,9.847023015555001
6999,6999,35792.0,698.0,64800.0,149.13532769097222,80.39589105957641,28,11,0,2,0,True,False,2022,4,4,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,5,2,0,5,5,4,10.48550762254391
7000,7000,522305.0,137.0,1910000.0,94.97091796875,68.59192795719306,50,16,0,2,0,False,False,2023,11,5,0,0,0,0,0,0,1,0,0,16,2,0,3,15,4,8,15,15,0,0,0,0,0,0,4,13.166008902009184
7001,7001,1097956.0,1198.0,274000.0,124.92403537326388,75.55915720704554,97,34,0,4,0,False,False,2024,2,3,1,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,4,13.908961738171826
7002,7002,895439.0,235.0,191000.0,89.94099609375,75.73758085624145,31,16,0,2,0,False,False,2023,3,6,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,13.705070496563149
7003,7003,12273.0,523.0,103000.0,99.52188585069445,90.32596910664547,38,17,0,4,0,True,True,2025,3,2,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,9.415238482949043
7004,7004,47942.0,885.0,124000.0,130.3112554253472,64.31615808325078,49,15,0,2,0,False,False,2025,1,4,1,0,0,1,0,1,1,1,0,3,2,0,1,3,0,0,3,3,0,0,0,0,0,0,4,10.777768084253218
7005,7005,2143993.0,70.0,4230.0,111.12276041666668,72.49796873185264,25,7,0,2,0,False,False,2023,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,14.57818100266145
7006,7006,1058537.0,867.0,19600.0,142.605048828125,85.46420237182778,30,16,0,4,0,False,False,2023,7,5,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,101,0,0,0,0,0,0,0,0,6,13.872399268770963
7007,7007,9807.0,349.0,1850000.0,134.6486697048611,76.7096354492469,63,21,0,10,0,False,False,2024,10,1,0,0,0,0,0,0,1,1,0,2,1,0,0,2,0,0,2,2,0,0,0,0,0,0,4,9.190953658175992
7008,7008,52726.0,531.0,7200.0,130.475029296875,63.65438456388563,41,17,0,2,0,False,True,2024,1,6,0,0,0,0,0,1,1,0,0,1,5,1,0,1,0,0,1,1,0,1,0,0,1,1,4,10.872882937297062
7009,7009,247336.0,2600.0,7230.0,53.98276475694445,68.38753417827398,52,23,0,3,0,False,False,2025,3,1,0,0,0,1,0,0,0,0,1,3,0,1,0,3,1,0,3,3,0,0,1,1,0,0,4,12.418507058169364
7010,7010,24190.0,997.0,429000.0,106.94395073784722,73.62556533761921,29,12,0,5,0,False,False,2025,2,5,1,0,0,0,0,1,1,0,0,3,0,1,1,3,1,0,3,3,0,1,0,0,1,1,4,10.093735942146068
